array_size,time,location
10000000,1.249035,M1 Macbook Pro 2 Processes
100000000,18.166659,M1 Macbook Pro 2 Processes
1000000000,347.166423,M1 Macbook Pro 2 Processes
10000000,0.428920,M1 Macbook Pro 4 Processes
100000000,5.300791,M1 Macbook Pro 4 Processes
1000000000,138.581238,M1 Macbook Pro 4 Processes
10000000,0.355303,M1 Macbook Pro 6 Processes
100000000,3.566932,M1 Macbook Pro 6 Processes
1000000000,116.726332,M1 Macbook Pro 6 Processes
10000000,0.202837,Fabric 6 Processes
100000000,2.257153,Fabric 6 Processes
1000000000,24.795968,Fabric 6 Processes
10000000,0.116786,Fabric 12 Processes
100000000,1.116179,Fabric 12 Processes
1000000000,12.175347,Fabric 12 Processes
10000000,0.081819,Fabric 18 Processes
100000000,0.843551,Fabric 18 Processes
1000000000,8.500471,Fabric 18 Processes
